,verse,terminacion
182,consecuencia de la contra el problema,"[<'pro':ccV>, <'ble':ccV>, <'ma':cV>]"
183,el problema de carbono en el cambio,"[<'cam':cVc>, <'bio':cvV>]"
184,consecuencia de la temperatura,"[<'tem':cVc>, <'pe':cV>, <'ra':cV>, <'tu':cv>, <'ra':cV>]"
185,la compromiso de la comprendencia,"[<'com':cVc>, <'pren':ccVc>, <'den':cVc>, <'cia':cvV>]"
186,supuesta de la comprender el cambio,"[<'cam':cVc>, <'bio':cvV>]"
187,la compromiso de la compromiso,"[<'com':cVc>, <'pro':ccV>, <'mi':cv>, <'so':sV>]"
188,de la espenibles de la compromiso,"[<'com':cVc>, <'pro':ccV>, <'mi':cv>, <'so':sV>]"
189,de la comprendera de la sociedad,"[<'so':sV>, <'cie':cvV>, <'dad':cVc>]"
190,el año 2000 a 2005 y 2005,"[<'20':cc>, <'05':cc>]"
191,2000 a 2005 y 2005 el cambio,"[<'cam':cVc>, <'bio':cvV>]"
192,por el cambio climático es el cambio,"[<'cam':cVc>, <'bio':cvV>]"
193,de la tierra de la temperatura,"[<'tem':cVc>, <'pe':cV>, <'ra':cV>, <'tu':cv>, <'ra':cV>]"
194,año 2000 es el cambio climático,"[<'cli':ccv>, <'má':cV>, <'ti':cv>, <'co':cV>]"
195,la compromiso de las emisiones,"[<'e':V>, <'mi':cv>, <'sio':svV>, <'nes':cVs>]"
196,es el cambio climático es el cambio,"[<'cam':cVc>, <'bio':cvV>]"
197,estado de la compromiso de emisión,"[<'e':V>, <'mi':cv>, <'sión':svVc>]"
198,las emisiones de la compromiso,"[<'com':cVc>, <'pro':ccV>, <'mi':cv>, <'so':sV>]"
199,la comprender el cambio climático,"[<'cli':ccv>, <'má':cV>, <'ti':cv>, <'co':cV>]"
200,la compromiso de la comprendera,"[<'com':cVc>, <'pren':ccVc>, <'de':cV>, <'ra':cV>]"
201,cambio climático es el año 2000,"[<'20':cc>, <'00':cc>]"
202,cambio climático de la supuesta,"[<'su':sv>, <'pues':cvVs>, <'ta':cV>]"
203,problemas de combustibles fósiles,"[<'fó':cV>, <'si':sv>, <'les':cVs>]"
204,contra el periodo de la comprendera,"[<'com':cVc>, <'pren':ccVc>, <'de':cV>, <'ra':cV>]"
205,el año 2000 a 2000 y 2005,"[<'20':cc>, <'05':cc>]"
206,temperatura de la concentración,"[<'con':cVc>, <'cen':cVc>, <'tra':ccV>, <'ción':cvVc>]"
207,de las emisiones de la energía,"[<'e':V>, <'ner':cVc>, <'gí':cV>, <'a':V>]"
208,la consecuencia de la comprendencia,"[<'com':cVc>, <'pren':ccVc>, <'den':cVc>, <'cia':cvV>]"
209,la compromiso de la conservica,"[<'con':cVc>, <'ser':sVc>, <'vi':cv>, <'ca':cV>]"
210,a la tierra con el cambio climático,"[<'cli':ccv>, <'má':cV>, <'ti':cv>, <'co':cV>]"
211,la compromiso de la compromiso,"[<'com':cVc>, <'pro':ccV>, <'mi':cv>, <'so':sV>]"
212,países de combustibles fósiles,"[<'fó':cV>, <'si':sv>, <'les':cVs>]"
213,combustibles fósiles y el cambio,"[<'cam':cVc>, <'bio':cvV>]"
214,problema de la tierra de la tierra,"[<'tie':cvV>, <'rra':ccV>]"
215,una seguridad de la compromiso,"[<'com':cVc>, <'pro':ccV>, <'mi':cv>, <'so':sV>]"
216,contra el cambio climático en el cambio,"[<'cam':cVc>, <'bio':cvV>]"
217,la temperatura de la comprender,"[<'com':cVc>, <'pren':ccVc>, <'der':cVc>]"
218,precipitaciones de combustibles,"[<'com':cVc>, <'bus':cvs>, <'ti':cv>, <'bles':ccVs>]"
219,producir en el cambio climático,"[<'cli':ccv>, <'má':cV>, <'ti':cv>, <'co':cV>]"
220,las precipitaciones de carbono,"[<'car':cVc>, <'bo':cV>, <'no':cV>]"
221,la conseguida de las emisiones,"[<'e':V>, <'mi':cv>, <'sio':svV>, <'nes':cVs>]"
222,países de la estresa de la contra,"[<'con':cVc>, <'tra':ccV>]"
223,la convención de la comprendería,"[<'com':cVc>, <'pren':ccVc>, <'de':cV>, <'rí':cV>, <'a':V>]"
224,comprendencia de las tecnologías,"[<'tec':cVc>, <'no':cV>, <'lo':cV>, <'gí':cV>, <'as':Vs>]"
225,la experiencia de la tierra es el cambio,"[<'cam':cVc>, <'bio':cvV>]"
226,la superficie de la comprendencia,"[<'com':cVc>, <'pren':ccVc>, <'den':cVc>, <'cia':cvV>]"
227,de la tierra en el cambio climático,"[<'cli':ccv>, <'má':cV>, <'ti':cv>, <'co':cV>]"
228,contra el cambio climático es el cambio,"[<'cam':cVc>, <'bio':cvV>]"
229,antración de la segunda de la estado,"[<'es':Vs>, <'ta':cV>, <'do':cV>]"
230,estado como el año 2000 a 2000,"[<'20':cc>, <'00':cc>]"
231,la comunidad de la estado como,"[<'co':cV>, <'mo':cV>]"
232,el cambio climático es el problema,"[<'pro':ccV>, <'ble':ccV>, <'ma':cV>]"
233,carbono en el año 2000 a 2005,"[<'20':cc>, <'05':cc>]"
234,desarrolla en el cambio climático,"[<'cli':ccv>, <'má':cV>, <'ti':cv>, <'co':cV>]"
235,el cambio climático es el problema,"[<'pro':ccV>, <'ble':ccV>, <'ma':cV>]"
236,la compromiso de la compromiso,"[<'com':cVc>, <'pro':ccV>, <'mi':cv>, <'so':sV>]"
237,la comprendencia de la compromiso,"[<'com':cVc>, <'pro':ccV>, <'mi':cv>, <'so':sV>]"
238,la consecuencia de la compromiso,"[<'com':cVc>, <'pro':ccV>, <'mi':cv>, <'so':sV>]"
239,el cambio climático de combustibles,"[<'com':cVc>, <'bus':cvs>, <'ti':cv>, <'bles':ccVs>]"
240,la comprender el cambio climático,"[<'cli':ccv>, <'má':cV>, <'ti':cv>, <'co':cV>]"
241,economía es el cambio climático,"[<'cli':ccv>, <'má':cV>, <'ti':cv>, <'co':cV>]"
242,para la contra el cambio climático,"[<'cli':ccv>, <'má':cV>, <'ti':cv>, <'co':cV>]"
243,de la respuesta de la compromiso,"[<'com':cVc>, <'pro':ccV>, <'mi':cv>, <'so':sV>]"
244,la consecuencia de la comprendercia,"[<'com':cVc>, <'pren':ccVc>, <'der':cVc>, <'cia':cvV>]"
245,la comunidad de la compromiso,"[<'com':cVc>, <'pro':ccV>, <'mi':cv>, <'so':sV>]"
246,que es el parecto de la comprendencia,"[<'com':cVc>, <'pren':ccVc>, <'den':cVc>, <'cia':cvV>]"
247,el cambio climático es el problema,"[<'pro':ccV>, <'ble':ccV>, <'ma':cV>]"
248,estados de la especie de la comprender,"[<'com':cVc>, <'pren':ccVc>, <'der':cVc>]"
249,estabilidad de la temperatura,"[<'tem':cVc>, <'pe':cV>, <'ra':cV>, <'tu':cv>, <'ra':cV>]"
250,de la temperatura en el consejo,"[<'con':cVc>, <'se':sV>, <'jo':cV>]"
251,la compromiso de la compromiso,"[<'com':cVc>, <'pro':ccV>, <'mi':cv>, <'so':sV>]"
252,la comprendencia de la comprendera,"[<'com':cVc>, <'pren':ccVc>, <'de':cV>, <'ra':cV>]"
253,el año 2000 a 2000 y 2005,"[<'20':cc>, <'05':cc>]"
254,2000 a 2000 y 2005 el cambio,"[<'cam':cVc>, <'bio':cvV>]"
255,contra el cambio climático es el cambio,"[<'cam':cVc>, <'bio':cvV>]"
256,el cambio climático es el problema,"[<'pro':ccV>, <'ble':ccV>, <'ma':cV>]"
257,contra el cambio climático es probable,"[<'pro':ccV>, <'ba':cV>, <'ble':ccV>]"
258,las compromisos de la consecuencia,"[<'con':cVc>, <'se':sV>, <'cuen':cvVc>, <'cia':cvV>]"
259,en el consejo de la temperatura,"[<'tem':cVc>, <'pe':cV>, <'ra':cV>, <'tu':cv>, <'ra':cV>]"
260,climático y es una medida,"[<'me':cV>, <'di':cv>, <'da':cV>]"
261,la compromiso de la comprendera,"[<'com':cVc>, <'pren':ccVc>, <'de':cV>, <'ra':cV>]"
262,en el aumento de las emisiones,"[<'e':V>, <'mi':cv>, <'sio':svV>, <'nes':cVs>]"
263,la compromiso de la comprendencia,"[<'com':cVc>, <'pren':ccVc>, <'den':cVc>, <'cia':cvV>]"
264,cambio climático y es el cambio,"[<'cam':cVc>, <'bio':cvV>]"
265,problema de la seguir en el cambio,"[<'cam':cVc>, <'bio':cvV>]"
266,cambio climático es en el problema,"[<'pro':ccV>, <'ble':ccV>, <'ma':cV>]"
267,los compromisos de la comprendencia,"[<'com':cVc>, <'pren':ccVc>, <'den':cVc>, <'cia':cvV>]"
268,la comprender el cambio climático,"[<'cli':ccv>, <'má':cV>, <'ti':cv>, <'co':cV>]"
269,economía es el cambio climático,"[<'cli':ccv>, <'má':cV>, <'ti':cv>, <'co':cV>]"
270,contra el cambio climático es el año,"[<'a':V>, <'ño':cV>]"
271,el cambio climático es el año 2000,"[<'20':cc>, <'00':cc>]"
272,la compromiso de la comprendera,"[<'com':cVc>, <'pren':ccVc>, <'de':cV>, <'ra':cV>]"
273,la consideración de la respuesta,"[<'res':cVs>, <'pues':cvVs>, <'ta':cV>]"
274,cambio climático es el año 2000,"[<'20':cc>, <'00':cc>]"
275,respuesta de la estado de la estado,"[<'es':Vs>, <'ta':cV>, <'do':cV>]"
276,problema de combustibles fósiles,"[<'fó':cV>, <'si':sv>, <'les':cVs>]"
277,por el aumento de las emisiones,"[<'e':V>, <'mi':cv>, <'sio':svV>, <'nes':cVs>]"
278,la compromiso de la compromiso,"[<'com':cVc>, <'pro':ccV>, <'mi':cv>, <'so':sV>]"
279,de la tierra de la temperatura,"[<'tem':cVc>, <'pe':cV>, <'ra':cV>, <'tu':cv>, <'ra':cV>]"
280,de la temperatura de la tierra,"[<'tie':cvV>, <'rra':ccV>]"
281,cambio climático es el año 2000,"[<'20':cc>, <'00':cc>]"
282,el cambio climático y al año,"[<'a':V>, <'ño':cV>]"
283,la comprender el cambio climático,"[<'cli':ccv>, <'má':cV>, <'ti':cv>, <'co':cV>]"
284,se ha reducido a la diversidad,"[<'di':cv>, <'ver':cVc>, <'si':sv>, <'dad':cVc>]"
285,contra el cambio climático es el cambio,"[<'cam':cVc>, <'bio':cvV>]"
286,la temperatura de la comprender,"[<'com':cVc>, <'pren':ccVc>, <'der':cVc>]"
287,de las emisiones de combustibles,"[<'com':cVc>, <'bus':cvs>, <'ti':cv>, <'bles':ccVs>]"
288,de la compromiso de la comprender,"[<'com':cVc>, <'pren':ccVc>, <'der':cVc>]"
289,precipitaciones de combustibles,"[<'com':cVc>, <'bus':cvs>, <'ti':cv>, <'bles':ccVs>]"
