,verse,terminacion
76,en la atmósfera de la temperatura,"[<'tem':cVc>, <'pe':cV>, <'ra':cV>, <'tu':cv>, <'ra':cV>]"
77,la anteración de la consideración,"[<'con':cVc>, <'si':sv>, <'de':cV>, <'ra':cV>, <'ción':cvVc>]"
78,la atmósfera de la temperatura,"[<'tem':cVc>, <'pe':cV>, <'ra':cV>, <'tu':cv>, <'ra':cV>]"
79,concentración de la temperatura,"[<'tem':cVc>, <'pe':cV>, <'ra':cV>, <'tu':cv>, <'ra':cV>]"
80,el cambio climático en la concentración,"[<'con':cVc>, <'cen':cVc>, <'tra':ccV>, <'ción':cvVc>]"
81,cambio climático en la concentración,"[<'con':cVc>, <'cen':cVc>, <'tra':ccV>, <'ción':cvVc>]"
82,de la concentración de la energía,"[<'e':V>, <'ner':cVc>, <'gí':cV>, <'a':V>]"
83,la temperatura de la atmósfera,"[<'at':Vc>, <'mós':cVs>, <'fe':cV>, <'ra':cV>]"
84,temperatura de la concentración,"[<'con':cVc>, <'cen':cVc>, <'tra':ccV>, <'ción':cvVc>]"
85,la temperatura de la contencia,"[<'con':cVc>, <'ten':cVc>, <'cia':cvV>]"
86,la temperatura de la contención,"[<'con':cVc>, <'ten':cVc>, <'ción':cvVc>]"
87,el cambio climático en la continidad,"[<'con':cVc>, <'ti':cv>, <'ni':cv>, <'dad':cVc>]"
88,y 2008 el clima de la producción,"[<'pro':ccV>, <'duc':cvc>, <'ción':cvVc>]"
89,concentración de la temperatura,"[<'tem':cVc>, <'pe':cV>, <'ra':cV>, <'tu':cv>, <'ra':cV>]"
90,la concentración de las consideras,"[<'con':cVc>, <'si':sv>, <'de':cV>, <'ras':cVs>]"
91,de la concentración de la sectores,"[<'sec':sVc>, <'to':cV>, <'res':cVs>]"
92,la concentración de la concentración,"[<'con':cVc>, <'cen':cVc>, <'tra':ccV>, <'ción':cvVc>]"
93,el año 2000 y 2008 el clima,"[<'cli':ccv>, <'ma':cV>]"
94,de la concentración de la atmósfera,"[<'at':Vc>, <'mós':cVs>, <'fe':cV>, <'ra':cV>]"
95,continiración de la concentración,"[<'con':cVc>, <'cen':cVc>, <'tra':ccV>, <'ción':cvVc>]"
96,la tierra de la tierra de la tierra,"[<'tie':cvV>, <'rra':ccV>]"
97,la concentración de la concentración,"[<'con':cVc>, <'cen':cVc>, <'tra':ccV>, <'ción':cvVc>]"
98,la atmósfera de la temperatura,"[<'tem':cVc>, <'pe':cV>, <'ra':cV>, <'tu':cv>, <'ra':cV>]"
99,entre los cambios en la temperatura,"[<'tem':cVc>, <'pe':cV>, <'ra':cV>, <'tu':cv>, <'ra':cV>]"
100,la atmósfera de la temperatura,"[<'tem':cVc>, <'pe':cV>, <'ra':cV>, <'tu':cv>, <'ra':cV>]"
101,la contención de la consideración,"[<'con':cVc>, <'si':sv>, <'de':cV>, <'ra':cV>, <'ción':cvVc>]"
102,cambio climático en la concentración,"[<'con':cVc>, <'cen':cVc>, <'tra':ccV>, <'ción':cvVc>]"
103,temperatura de la composición,"[<'com':cVc>, <'po':cV>, <'si':sv>, <'ción':cvVc>]"
104,la atmósfera de la temperatura,"[<'tem':cVc>, <'pe':cV>, <'ra':cV>, <'tu':cv>, <'ra':cV>]"
105,cambio climático en la concentración,"[<'con':cVc>, <'cen':cVc>, <'tra':ccV>, <'ción':cvVc>]"
106,de la temperatura de la tierra,"[<'tie':cvV>, <'rra':ccV>]"
107,la concentración de la concentración,"[<'con':cVc>, <'cen':cVc>, <'tra':ccV>, <'ción':cvVc>]"
108,temperatura de la concentración,"[<'con':cVc>, <'cen':cVc>, <'tra':ccV>, <'ción':cvVc>]"
109,la contencia de la temperatura,"[<'tem':cVc>, <'pe':cV>, <'ra':cV>, <'tu':cv>, <'ra':cV>]"
110,la atmósfera de la temperatura,"[<'tem':cVc>, <'pe':cV>, <'ra':cV>, <'tu':cv>, <'ra':cV>]"
111,la secusa de la temperatura,"[<'tem':cVc>, <'pe':cV>, <'ra':cV>, <'tu':cv>, <'ra':cV>]"
112,la contincia de la temperatura,"[<'tem':cVc>, <'pe':cV>, <'ra':cV>, <'tu':cv>, <'ra':cV>]"
113,la temperatura de la cantidad,"[<'can':cVc>, <'ti':cv>, <'dad':cVc>]"
114,el año 2000 y 2000 y 2009,"[<'20':cc>, <'09':cc>]"
115,2000 y 2000 y 2009 el clima,"[<'cli':ccv>, <'ma':cV>]"
116,el cambio climático y el cambio,"[<'cam':cVc>, <'bio':cvV>]"
117,cambio climático en el año 2000,"[<'20':cc>, <'00':cc>]"
118,la concentración de la concentración,"[<'con':cVc>, <'cen':cVc>, <'tra':ccV>, <'ción':cvVc>]"
119,temperatura de la concentración,"[<'con':cVc>, <'cen':cVc>, <'tra':ccV>, <'ción':cvVc>]"
120,de la contración de la concentración,"[<'con':cVc>, <'cen':cVc>, <'tra':ccV>, <'ción':cvVc>]"
121,la concentración de la concentración,"[<'con':cVc>, <'cen':cVc>, <'tra':ccV>, <'ción':cvVc>]"
122,cambio climático en la concentración,"[<'con':cVc>, <'cen':cVc>, <'tra':ccV>, <'ción':cvVc>]"
123,cambio climático en la concentración,"[<'con':cVc>, <'cen':cVc>, <'tra':ccV>, <'ción':cvVc>]"
124,temperatura de la concentración,"[<'con':cVc>, <'cen':cVc>, <'tra':ccV>, <'ción':cvVc>]"
125,el año 2000 y a la concentración,"[<'con':cVc>, <'cen':cVc>, <'tra':ccV>, <'ción':cvVc>]"
126,la consecto de la temperatura,"[<'tem':cVc>, <'pe':cV>, <'ra':cV>, <'tu':cv>, <'ra':cV>]"
127,la temperatura de la entremente,"[<'en':Vc>, <'tre':ccV>, <'men':cVc>, <'te':cV>]"
128,temperatura de la considioncia,"[<'con':cVc>, <'si':sv>, <'dion':cvVc>, <'cia':cvV>]"
129,los efectos de la temperatura,"[<'tem':cVc>, <'pe':cV>, <'ra':cV>, <'tu':cv>, <'ra':cV>]"
130,las precipitaciones de la tierra,"[<'tie':cvV>, <'rra':ccV>]"
131,la atmósfera de la temperatura,"[<'tem':cVc>, <'pe':cV>, <'ra':cV>, <'tu':cv>, <'ra':cV>]"
132,la atmósfera de la temperatura,"[<'tem':cVc>, <'pe':cV>, <'ra':cV>, <'tu':cv>, <'ra':cV>]"
133,la temperatura de la entersidad,"[<'en':Vc>, <'ter':cVc>, <'si':sv>, <'dad':cVc>]"
134,la temperatura de la contencia,"[<'con':cVc>, <'ten':cVc>, <'cia':cvV>]"
135,concentración de la consideración,"[<'con':cVc>, <'si':sv>, <'de':cV>, <'ra':cV>, <'ción':cvVc>]"
136,de la atmósfera de la concentración,"[<'con':cVc>, <'cen':cVc>, <'tra':ccV>, <'ción':cvVc>]"
137,concentración de la temperatura,"[<'tem':cVc>, <'pe':cV>, <'ra':cV>, <'tu':cv>, <'ra':cV>]"
138,temperatura de la concentración,"[<'con':cVc>, <'cen':cVc>, <'tra':ccV>, <'ción':cvVc>]"
139,el año 2000 y 2007 el cambio,"[<'cam':cVc>, <'bio':cvV>]"
140,cambio climático en la concentración,"[<'con':cVc>, <'cen':cVc>, <'tra':ccV>, <'ción':cvVc>]"
141,la temperatura de la contencia,"[<'con':cVc>, <'ten':cVc>, <'cia':cvV>]"
142,la atmósfera de la temperatura,"[<'tem':cVc>, <'pe':cV>, <'ra':cV>, <'tu':cv>, <'ra':cV>]"
143,el cambio climático en la concentración,"[<'con':cVc>, <'cen':cVc>, <'tra':ccV>, <'ción':cvVc>]"
144,la temperatura de la contención,"[<'con':cVc>, <'ten':cVc>, <'ción':cvVc>]"
145,el año 2000 y 2007 el clima,"[<'cli':ccv>, <'ma':cV>]"
146,temperatura de la concentración,"[<'con':cVc>, <'cen':cVc>, <'tra':ccV>, <'ción':cvVc>]"
147,la entersidad de la temperatura,"[<'tem':cVc>, <'pe':cV>, <'ra':cV>, <'tu':cv>, <'ra':cV>]"
148,de la temperatura de la tierra,"[<'tie':cvV>, <'rra':ccV>]"
149,cambio climático en la concentración,"[<'con':cVc>, <'cen':cVc>, <'tra':ccV>, <'ción':cvVc>]"
150,la tierra y el cambio climático,"[<'cli':ccv>, <'má':cV>, <'ti':cv>, <'co':cV>]"
151,concentración de la temperatura,"[<'tem':cVc>, <'pe':cV>, <'ra':cV>, <'tu':cv>, <'ra':cV>]"
152,el cambio climático en la concentración,"[<'con':cVc>, <'cen':cVc>, <'tra':ccV>, <'ción':cvVc>]"
153,cambio climático en la concentración,"[<'con':cVc>, <'cen':cVc>, <'tra':ccV>, <'ción':cvVc>]"
154,la concentración de la concentración,"[<'con':cVc>, <'cen':cVc>, <'tra':ccV>, <'ción':cvVc>]"
155,cambio climático en la concentración,"[<'con':cVc>, <'cen':cVc>, <'tra':ccV>, <'ción':cvVc>]"
156,la atmósfera de la consideración,"[<'con':cVc>, <'si':sv>, <'de':cV>, <'ra':cV>, <'ción':cvVc>]"
157,la contencia de la consideración,"[<'con':cVc>, <'si':sv>, <'de':cV>, <'ra':cV>, <'ción':cvVc>]"
158,la temperatura de la contención,"[<'con':cVc>, <'ten':cVc>, <'ción':cvVc>]"
159,temperatura de la enternadero,"[<'en':Vc>, <'ter':cVc>, <'na':cV>, <'de':cV>, <'ro':cV>]"
160,la atmósfera de la temperatura,"[<'tem':cVc>, <'pe':cV>, <'ra':cV>, <'tu':cv>, <'ra':cV>]"
161,cambio climático en la concentración,"[<'con':cVc>, <'cen':cVc>, <'tra':ccV>, <'ción':cvVc>]"
162,la atmósfera de la temperatura,"[<'tem':cVc>, <'pe':cV>, <'ra':cV>, <'tu':cv>, <'ra':cV>]"
163,la contención de la temperatura,"[<'tem':cVc>, <'pe':cV>, <'ra':cV>, <'tu':cv>, <'ra':cV>]"
164,la concentración de la concentración,"[<'con':cVc>, <'cen':cVc>, <'tra':ccV>, <'ción':cvVc>]"
165,la atmósfera de la temperatura,"[<'tem':cVc>, <'pe':cV>, <'ra':cV>, <'tu':cv>, <'ra':cV>]"
166,la temperatura de la contención,"[<'con':cVc>, <'ten':cVc>, <'ción':cvVc>]"
167,el cambio climático en la concentración,"[<'con':cVc>, <'cen':cVc>, <'tra':ccV>, <'ción':cvVc>]"
168,la contencia de la temperatura,"[<'tem':cVc>, <'pe':cV>, <'ra':cV>, <'tu':cv>, <'ra':cV>]"
169,cambio climático en el año 2000,"[<'20':cc>, <'00':cc>]"
170,cambio climático en la carticación,"[<'car':cVc>, <'ti':cv>, <'ca':cV>, <'ción':cvVc>]"
171,el cambio climático en la concentración,"[<'con':cVc>, <'cen':cVc>, <'tra':ccV>, <'ción':cvVc>]"
172,la contencia de la temperatura,"[<'tem':cVc>, <'pe':cV>, <'ra':cV>, <'tu':cv>, <'ra':cV>]"
173,la temperatura de la atmósfera,"[<'at':Vc>, <'mós':cVs>, <'fe':cV>, <'ra':cV>]"
174,la contencia de la temperatura,"[<'tem':cVc>, <'pe':cV>, <'ra':cV>, <'tu':cv>, <'ra':cV>]"
175,al cambio climático en la concentración,"[<'con':cVc>, <'cen':cVc>, <'tra':ccV>, <'ción':cvVc>]"
176,de la tierra de la temperatura,"[<'tem':cVc>, <'pe':cV>, <'ra':cV>, <'tu':cv>, <'ra':cV>]"
177,la contencia de la temperatura,"[<'tem':cVc>, <'pe':cV>, <'ra':cV>, <'tu':cv>, <'ra':cV>]"
178,temperatura de la concentración,"[<'con':cVc>, <'cen':cVc>, <'tra':ccV>, <'ción':cvVc>]"
179,la concentración de la concentración,"[<'con':cVc>, <'cen':cVc>, <'tra':ccV>, <'ción':cvVc>]"
180,cambio climático en la concentración,"[<'con':cVc>, <'cen':cVc>, <'tra':ccV>, <'ción':cvVc>]"
181,cambio climático en el año 2000,"[<'20':cc>, <'00':cc>]"
182,la temperatura de la entrementa,"[<'en':Vc>, <'tre':ccV>, <'men':cVc>, <'ta':cV>]"
183,año 2000 y 2007 en el cambio,"[<'cam':cVc>, <'bio':cvV>]"
184,en la atmósfera de la temperatura,"[<'tem':cVc>, <'pe':cV>, <'ra':cV>, <'tu':cv>, <'ra':cV>]"
185,año 2000 y a la temperatura,"[<'tem':cVc>, <'pe':cV>, <'ra':cV>, <'tu':cv>, <'ra':cV>]"
186,la temperatura de la consecto,"[<'con':cVc>, <'sec':sVc>, <'to':cV>]"
187,cambio climático en la concentración,"[<'con':cVc>, <'cen':cVc>, <'tra':ccV>, <'ción':cvVc>]"
188,de la tierra de la temperatura,"[<'tem':cVc>, <'pe':cV>, <'ra':cV>, <'tu':cv>, <'ra':cV>]"
189,la contencia de la temperatura,"[<'tem':cVc>, <'pe':cV>, <'ra':cV>, <'tu':cv>, <'ra':cV>]"
190,la atmósfera de la temperatura,"[<'tem':cVc>, <'pe':cV>, <'ra':cV>, <'tu':cv>, <'ra':cV>]"
191,de la temperatura de la tierra,"[<'tie':cvV>, <'rra':ccV>]"
192,temperatura de la concentración,"[<'con':cVc>, <'cen':cVc>, <'tra':ccV>, <'ción':cvVc>]"
193,el cambio climático en la concentración,"[<'con':cVc>, <'cen':cVc>, <'tra':ccV>, <'ción':cvVc>]"
194,el cambio climático en la concentración,"[<'con':cVc>, <'cen':cVc>, <'tra':ccV>, <'ción':cvVc>]"
195,la temperatura de la contencia,"[<'con':cVc>, <'ten':cVc>, <'cia':cvV>]"
196,cambio climático es la concentración,"[<'con':cVc>, <'cen':cVc>, <'tra':ccV>, <'ción':cvVc>]"
197,la atmósfera de la tomperatura,"[<'tom':cVc>, <'pe':cV>, <'ra':cV>, <'tu':cv>, <'ra':cV>]"
198,la concentración de la concentración,"[<'con':cVc>, <'cen':cVc>, <'tra':ccV>, <'ción':cvVc>]"
199,el cambio climático en la concentración,"[<'con':cVc>, <'cen':cVc>, <'tra':ccV>, <'ción':cvVc>]"
200,cambio climático en la concentración,"[<'con':cVc>, <'cen':cVc>, <'tra':ccV>, <'ción':cvVc>]"
201,la atmósfera de la temperatura,"[<'tem':cVc>, <'pe':cV>, <'ra':cV>, <'tu':cv>, <'ra':cV>]"
202,cambio climático en el año 2000,"[<'20':cc>, <'00':cc>]"
203,cambio climático en la concentración,"[<'con':cVc>, <'cen':cVc>, <'tra':ccV>, <'ción':cvVc>]"
204,la concentración de la concentración,"[<'con':cVc>, <'cen':cVc>, <'tra':ccV>, <'ción':cvVc>]"
205,la atmósfera de la temperatura,"[<'tem':cVc>, <'pe':cV>, <'ra':cV>, <'tu':cv>, <'ra':cV>]"
206,la temperatura de la distinción,"[<'dis':cvs>, <'tin':cvc>, <'ción':cvVc>]"
207,cambio climático en la concentración,"[<'con':cVc>, <'cen':cVc>, <'tra':ccV>, <'ción':cvVc>]"
208,el cambio climático es con el clima,"[<'cli':ccv>, <'ma':cV>]"
209,la concentración de la concentración,"[<'con':cVc>, <'cen':cVc>, <'tra':ccV>, <'ción':cvVc>]"
210,la atmósfera de la temperatura,"[<'tem':cVc>, <'pe':cV>, <'ra':cV>, <'tu':cv>, <'ra':cV>]"
211,de la temperatura de la tierra,"[<'tie':cvV>, <'rra':ccV>]"
212,temperatura de la concentración,"[<'con':cVc>, <'cen':cVc>, <'tra':ccV>, <'ción':cvVc>]"
213,concentración de la temperatura,"[<'tem':cVc>, <'pe':cV>, <'ra':cV>, <'tu':cv>, <'ra':cV>]"
214,de la tierra de la temperatura,"[<'tem':cVc>, <'pe':cV>, <'ra':cV>, <'tu':cv>, <'ra':cV>]"
215,concentración de la temperatura,"[<'tem':cVc>, <'pe':cV>, <'ra':cV>, <'tu':cv>, <'ra':cV>]"
216,contencia de la tierra de la tierra,"[<'tie':cvV>, <'rra':ccV>]"
217,la temperatura de la contincia,"[<'con':cVc>, <'tin':cvc>, <'cia':cvV>]"
218,la atmósfera de la temperatura,"[<'tem':cVc>, <'pe':cV>, <'ra':cV>, <'tu':cv>, <'ra':cV>]"
219,de la temperatura de la tierra,"[<'tie':cvV>, <'rra':ccV>]"
220,de la tierra de la consideración,"[<'con':cVc>, <'si':sv>, <'de':cV>, <'ra':cV>, <'ción':cvVc>]"
221,el año 2000 y 2008 el clima,"[<'cli':ccv>, <'ma':cV>]"
222,la temperatura de la atmósfera,"[<'at':Vc>, <'mós':cVs>, <'fe':cV>, <'ra':cV>]"
223,la temperatura de la contencia,"[<'con':cVc>, <'ten':cVc>, <'cia':cvV>]"
224,de carbono con la temperatura,"[<'tem':cVc>, <'pe':cV>, <'ra':cV>, <'tu':cv>, <'ra':cV>]"
225,cambio climático es el año 2000,"[<'20':cc>, <'00':cc>]"
226,cambio climático en la concentración,"[<'con':cVc>, <'cen':cVc>, <'tra':ccV>, <'ción':cvVc>]"
227,de la considioncia de la atmósfera,"[<'at':Vc>, <'mós':cVs>, <'fe':cV>, <'ra':cV>]"
228,la atmósfera de la temperatura,"[<'tem':cVc>, <'pe':cV>, <'ra':cV>, <'tu':cv>, <'ra':cV>]"
229,el cambio climático en la concentración,"[<'con':cVc>, <'cen':cVc>, <'tra':ccV>, <'ción':cvVc>]"
230,cambio climático en la concentración,"[<'con':cVc>, <'cen':cVc>, <'tra':ccV>, <'ción':cvVc>]"
231,la atmósfera de la temperatura,"[<'tem':cVc>, <'pe':cV>, <'ra':cV>, <'tu':cv>, <'ra':cV>]"
232,el cambio climático en la concentración,"[<'con':cVc>, <'cen':cVc>, <'tra':ccV>, <'ción':cvVc>]"
233,de la temperatura de la tierra,"[<'tie':cvV>, <'rra':ccV>]"
234,la temperatura de la atmósfera,"[<'at':Vc>, <'mós':cVs>, <'fe':cV>, <'ra':cV>]"
235,la temperatura de la contidad,"[<'con':cVc>, <'ti':cv>, <'dad':cVc>]"
236,el año 2000 y 2000 y 2000,"[<'20':cc>, <'00':cc>]"
237,2000 y 2000 y 2000 y 2007,"[<'20':cc>, <'07':cc>]"
238,2000 y 2000 y 2007 el clima,"[<'cli':ccv>, <'ma':cV>]"
239,la tierra para el cambio climático,"[<'cli':ccv>, <'má':cV>, <'ti':cv>, <'co':cV>]"
240,de la tierra de la temperatura,"[<'tem':cVc>, <'pe':cV>, <'ra':cV>, <'tu':cv>, <'ra':cV>]"
241,cambio climático en el año 2000,"[<'20':cc>, <'00':cc>]"
242,la temperatura de la atmósfera,"[<'at':Vc>, <'mós':cVs>, <'fe':cV>, <'ra':cV>]"
243,cambio climático en la concentración,"[<'con':cVc>, <'cen':cVc>, <'tra':ccV>, <'ción':cvVc>]"
244,la contención de la temperatura,"[<'tem':cVc>, <'pe':cV>, <'ra':cV>, <'tu':cv>, <'ra':cV>]"
245,de la temperatura de la tierra,"[<'tie':cvV>, <'rra':ccV>]"
246,de la atmósfera de la concentración,"[<'con':cVc>, <'cen':cVc>, <'tra':ccV>, <'ción':cvVc>]"
247,la concentración de la concentración,"[<'con':cVc>, <'cen':cVc>, <'tra':ccV>, <'ción':cvVc>]"
248,la temperatura de la consecto,"[<'con':cVc>, <'sec':sVc>, <'to':cV>]"
249,la energía de la temperatura,"[<'tem':cVc>, <'pe':cV>, <'ra':cV>, <'tu':cv>, <'ra':cV>]"
