,endecasílabo
98,la atmósfera de la temperatura
99,entre los cambios en la temperatura
100,la atmósfera de la temperatura
101,la contención de la consideración
102,cambio climático en la concentración
103,temperatura de la composición
104,la atmósfera de la temperatura
105,cambio climático en la concentración
106,de la temperatura de la tierra
107,la concentración de la concentración
108,temperatura de la concentración
109,la contencia de la temperatura
110,la atmósfera de la temperatura
111,la secusa de la temperatura
112,la contincia de la temperatura
113,la temperatura de la cantidad
114,el año 2000 y 2000 y 2009
115,2000 y 2000 y 2009 el clima
116,el cambio climático y el cambio
117,cambio climático en el año 2000
118,la concentración de la concentración
119,temperatura de la concentración
120,de la contración de la concentración
121,la concentración de la concentración
122,cambio climático en la concentración
123,cambio climático en la concentración
124,temperatura de la concentración
125,el año 2000 y a la concentración
126,la consecto de la temperatura
127,la temperatura de la entremente
128,temperatura de la considioncia
129,los efectos de la temperatura
130,las precipitaciones de la tierra
131,la atmósfera de la temperatura
132,la atmósfera de la temperatura
133,la temperatura de la entersidad
134,la temperatura de la contencia
135,concentración de la consideración
136,de la atmósfera de la concentración
137,concentración de la temperatura
138,temperatura de la concentración
139,el año 2000 y 2007 el cambio
140,cambio climático en la concentración
141,la temperatura de la contencia
142,la atmósfera de la temperatura
143,el cambio climático en la concentración
144,la temperatura de la contención
145,el año 2000 y 2007 el clima
146,temperatura de la concentración
147,la entersidad de la temperatura
148,de la temperatura de la tierra
149,cambio climático en la concentración
150,la tierra y el cambio climático
151,concentración de la temperatura
152,el cambio climático en la concentración
153,cambio climático en la concentración
154,la concentración de la concentración
155,cambio climático en la concentración
156,la atmósfera de la consideración
157,la contencia de la consideración
158,la temperatura de la contención
159,temperatura de la enternadero
160,la atmósfera de la temperatura
161,cambio climático en la concentración
162,la atmósfera de la temperatura
163,la contención de la temperatura
164,la concentración de la concentración
165,la atmósfera de la temperatura
166,la temperatura de la contención
167,el cambio climático en la concentración
168,la contencia de la temperatura
169,cambio climático en el año 2000
170,cambio climático en la carticación
171,el cambio climático en la concentración
172,la contencia de la temperatura
173,la temperatura de la atmósfera
174,la contencia de la temperatura
175,al cambio climático en la concentración
176,de la tierra de la temperatura
177,la contencia de la temperatura
178,temperatura de la concentración
179,la concentración de la concentración
180,cambio climático en la concentración
181,cambio climático en el año 2000
182,la temperatura de la entrementa
183,año 2000 y 2007 en el cambio
184,en la atmósfera de la temperatura
185,año 2000 y a la temperatura
186,la temperatura de la consecto
187,cambio climático en la concentración
188,de la tierra de la temperatura
189,la contencia de la temperatura
190,la atmósfera de la temperatura
191,de la temperatura de la tierra
192,temperatura de la concentración
193,el cambio climático en la concentración
194,el cambio climático en la concentración
195,la temperatura de la contencia
196,cambio climático es la concentración
197,la atmósfera de la tomperatura
198,la concentración de la concentración
199,el cambio climático en la concentración
200,cambio climático en la concentración
201,la atmósfera de la temperatura
202,cambio climático en el año 2000
203,cambio climático en la concentración
204,la concentración de la concentración
205,la atmósfera de la temperatura
206,la temperatura de la distinción
207,cambio climático en la concentración
208,el cambio climático es con el clima
209,la concentración de la concentración
210,la atmósfera de la temperatura
211,de la temperatura de la tierra
212,temperatura de la concentración
213,concentración de la temperatura
214,de la tierra de la temperatura
215,concentración de la temperatura
216,contencia de la tierra de la tierra
217,la temperatura de la contincia
218,la atmósfera de la temperatura
219,de la temperatura de la tierra
220,de la tierra de la consideración
221,el año 2000 y 2008 el clima
222,la temperatura de la atmósfera
223,la temperatura de la contencia
224,de carbono con la temperatura
225,cambio climático es el año 2000
226,cambio climático en la concentración
227,de la considioncia de la atmósfera
228,la atmósfera de la temperatura
229,el cambio climático en la concentración
230,cambio climático en la concentración
231,la atmósfera de la temperatura
232,el cambio climático en la concentración
233,de la temperatura de la tierra
234,la temperatura de la atmósfera
235,la temperatura de la contidad
236,el año 2000 y 2000 y 2000
237,2000 y 2000 y 2000 y 2007
238,2000 y 2000 y 2007 el clima
239,la tierra para el cambio climático
240,de la tierra de la temperatura
241,cambio climático en el año 2000
242,la temperatura de la atmósfera
243,cambio climático en la concentración
244,la contención de la temperatura
245,de la temperatura de la tierra
246,de la atmósfera de la concentración
247,la concentración de la concentración
248,la temperatura de la consecto
249,la energía de la temperatura
