,verse,terminacion
48,la comprestica de la consecuencia,"[<'con':cVc>, <'se':sV>, <'cuen':cvVc>, <'cia':cvV>]"
49,prodecto de los procesos actuales,"[<'ac':Vc>, <'tua':cvV>, <'les':cVs>]"
50,la consecuencia de la compersidad,"[<'com':cVc>, <'per':cVc>, <'si':sv>, <'dad':cVc>]"
51,actuales de los precios de la consecuir,"[<'con':cVc>, <'se':sV>, <'cuir':cvvc>]"
52,en el consemue de la comperatura,"[<'com':cVc>, <'pe':cV>, <'ra':cV>, <'tu':cv>, <'ra':cV>]"
53,establemente de la temperatura,"[<'tem':cVc>, <'pe':cV>, <'ra':cV>, <'tu':cv>, <'ra':cV>]"
54,la temperatura de la energía,"[<'e':V>, <'ner':cVc>, <'gí':cV>, <'a':V>]"
55,la producción de la temperatura,"[<'tem':cVc>, <'pe':cV>, <'ra':cV>, <'tu':cv>, <'ra':cV>]"
56,este consemuento de la compersidad,"[<'com':cVc>, <'per':cVc>, <'si':sv>, <'dad':cVc>]"
57,muy problemas de la comperativa,"[<'com':cVc>, <'pe':cV>, <'ra':cV>, <'ti':cv>, <'va':cV>]"
58,la temperatura de la compensión,"[<'com':cVc>, <'pen':cVc>, <'sión':svVc>]"
59,la compresticación de la estructiva,"[<'es':Vs>, <'truc':ccvc>, <'ti':cv>, <'va':cV>]"
60,el cambio climático de la comprendia,"[<'com':cVc>, <'pren':ccVc>, <'dia':cvV>]"
61,la temperatura de la comprensión,"[<'com':cVc>, <'pren':ccVc>, <'sión':svVc>]"
62,cambio climático es un estremente,"[<'es':Vs>, <'tre':ccV>, <'men':cVc>, <'te':cV>]"
63,la comprendia de la temperatura,"[<'tem':cVc>, <'pe':cV>, <'ra':cV>, <'tu':cv>, <'ra':cV>]"
64,el cambio climático de la comprensión,"[<'com':cVc>, <'pren':ccVc>, <'sión':svVc>]"
65,el cambio climático y la compresción,"[<'com':cVc>, <'pres':ccVs>, <'ción':cvVc>]"
66,la temperatura de la estructiva,"[<'es':Vs>, <'truc':ccvc>, <'ti':cv>, <'va':cV>]"
67,la comprensión de la temperatura,"[<'tem':cVc>, <'pe':cV>, <'ra':cV>, <'tu':cv>, <'ra':cV>]"
68,la comprendia de la temperatura,"[<'tem':cVc>, <'pe':cV>, <'ra':cV>, <'tu':cv>, <'ra':cV>]"
69,de la comprestión de la consecuencia,"[<'con':cVc>, <'se':sV>, <'cuen':cvVc>, <'cia':cvV>]"
70,el cambio climático es el problema,"[<'pro':ccV>, <'ble':ccV>, <'ma':cV>]"
71,la consecuencia de la organización,"[<'or':Vc>, <'ga':cV>, <'ni':cv>, <'za':cV>, <'ción':cvVc>]"
72,el cambio climático y la estrecidad,"[<'es':Vs>, <'tre':ccV>, <'ci':cv>, <'dad':cVc>]"
73,la compensadad en la consecuencia,"[<'con':cVc>, <'se':sV>, <'cuen':cvVc>, <'cia':cvV>]"
74,de la comprendia de la consecuencia,"[<'con':cVc>, <'se':sV>, <'cuen':cvVc>, <'cia':cvV>]"
75,estado por el estable de la cambio,"[<'cam':cVc>, <'bio':cvV>]"
76,de la consecuencia de la comprestión,"[<'com':cVc>, <'pres':ccVs>, <'tión':cvVc>]"
77,la comprestión de la temperatura,"[<'tem':cVc>, <'pe':cV>, <'ra':cV>, <'tu':cv>, <'ra':cV>]"
78,la consecuencia de la consecuencia,"[<'con':cVc>, <'se':sV>, <'cuen':cvVc>, <'cia':cvV>]"
79,la comprestión de la temperatura,"[<'tem':cVc>, <'pe':cV>, <'ra':cV>, <'tu':cv>, <'ra':cV>]"
80,estable en los países de la comprestión,"[<'com':cVc>, <'pres':ccVs>, <'tión':cvVc>]"
81,el cambio climático es un modelo,"[<'mo':cV>, <'de':cV>, <'lo':cV>]"
82,en la consecuencia de la consecuencia,"[<'con':cVc>, <'se':sV>, <'cuen':cvVc>, <'cia':cvV>]"
83,estan en la comprensión de la comprestión,"[<'com':cVc>, <'pres':ccVs>, <'tión':cvVc>]"
84,de la compensión de la conservación,"[<'con':cVc>, <'ser':sVc>, <'va':cV>, <'ción':cvVc>]"
85,estable en el prodecto de la compresción,"[<'com':cVc>, <'pres':ccVs>, <'ción':cvVc>]"
86,la temperatura de la comprendia,"[<'com':cVc>, <'pren':ccVc>, <'dia':cvV>]"
87,cambio climático y la comprestión,"[<'com':cVc>, <'pres':ccVs>, <'tión':cvVc>]"
88,el cambio climático de la comprensión,"[<'com':cVc>, <'pren':ccVc>, <'sión':svVc>]"
89,contratura de la temperatura,"[<'tem':cVc>, <'pe':cV>, <'ra':cV>, <'tu':cv>, <'ra':cV>]"
90,el cambio climático de la comprendia,"[<'com':cVc>, <'pren':ccVc>, <'dia':cvV>]"
91,el cambio climático en los procesos,"[<'pro':ccV>, <'ce':cV>, <'sos':sVs>]"
92,la estreteria de la temperatura,"[<'tem':cVc>, <'pe':cV>, <'ra':cV>, <'tu':cv>, <'ra':cV>]"
93,la consecuencia de la consecuencia,"[<'con':cVc>, <'se':sV>, <'cuen':cvVc>, <'cia':cvV>]"
94,a la temperatura de la comprensión,"[<'com':cVc>, <'pren':ccVc>, <'sión':svVc>]"
95,consectoria de la comperativa,"[<'com':cVc>, <'pe':cV>, <'ra':cV>, <'ti':cv>, <'va':cV>]"
96,de la compensadad de la comprendia,"[<'com':cVc>, <'pren':ccVc>, <'dia':cvV>]"
97,en la contraría de la consecuencia,"[<'con':cVc>, <'se':sV>, <'cuen':cvVc>, <'cia':cvV>]"
98,estado en la comprendia de la comprestión,"[<'com':cVc>, <'pres':ccVs>, <'tión':cvVc>]"
99,el cambio climático de la comprencia,"[<'com':cVc>, <'pren':ccVc>, <'cia':cvV>]"
100,la comperatura de la comprendia,"[<'com':cVc>, <'pren':ccVc>, <'dia':cvV>]"
101,cambio climático de la compensión,"[<'com':cVc>, <'pen':cVc>, <'sión':svVc>]"
102,de la sigue de la comperatura,"[<'com':cVc>, <'pe':cV>, <'ra':cV>, <'tu':cv>, <'ra':cV>]"
103,el cambio climático en los países,"[<'pa':cV>, <'í':V>, <'ses':sVs>]"
104,la compersidad de la comprimiento,"[<'com':cVc>, <'pri':ccv>, <'mien':cvVc>, <'to':cV>]"
105,consecuencia de la comperativa,"[<'com':cVc>, <'pe':cV>, <'ra':cV>, <'ti':cv>, <'va':cV>]"
106,esta a la consecuencia de la comprestión,"[<'com':cVc>, <'pres':ccVs>, <'tión':cvVc>]"
107,en la temperatura de la comprensión,"[<'com':cVc>, <'pren':ccVc>, <'sión':svVc>]"
108,la consecuencia de la consecuencia,"[<'con':cVc>, <'se':sV>, <'cuen':cvVc>, <'cia':cvV>]"
109,la compromisión de la consecuencia,"[<'con':cVc>, <'se':sV>, <'cuen':cvVc>, <'cia':cvV>]"
110,la comperativa de la compresción,"[<'com':cVc>, <'pres':ccVs>, <'ción':cvVc>]"
111,en la consecuencia de la consecuencia,"[<'con':cVc>, <'se':sV>, <'cuen':cvVc>, <'cia':cvV>]"
112,la consecuencia de la transflicación,"[<'trans':ccVcs>, <'fli':ccv>, <'ca':cV>, <'ción':cvVc>]"
113,la tenera de la temperatura,"[<'tem':cVc>, <'pe':cV>, <'ra':cV>, <'tu':cv>, <'ra':cV>]"
114,el cambio climático y la comprensión,"[<'com':cVc>, <'pren':ccVc>, <'sión':svVc>]"
115,el consemuento de la comperativa,"[<'com':cVc>, <'pe':cV>, <'ra':cV>, <'ti':cv>, <'va':cV>]"
116,cambio climático de la consecuir,"[<'con':cVc>, <'se':sV>, <'cuir':cvvc>]"
117,en la consecuencia de la compensidad,"[<'com':cVc>, <'pen':cVc>, <'si':sv>, <'dad':cVc>]"
118,de la consecuir en la consecuencia,"[<'con':cVc>, <'se':sV>, <'cuen':cvVc>, <'cia':cvV>]"
119,los procesos de la temperatura,"[<'tem':cVc>, <'pe':cV>, <'ra':cV>, <'tu':cv>, <'ra':cV>]"
120,la comperatura de la comprestión,"[<'com':cVc>, <'pres':ccVs>, <'tión':cvVc>]"
121,a la consecuencia de la compatación,"[<'com':cVc>, <'pa':cV>, <'ta':cV>, <'ción':cvVc>]"
122,la consecuencia de las emisiones,"[<'e':V>, <'mi':cv>, <'sio':svV>, <'nes':cVs>]"
123,cambio climático de la estretaria,"[<'es':Vs>, <'tre':ccV>, <'ta':cV>, <'ria':cvV>]"
124,de la compersidad de los países,"[<'pa':cV>, <'í':V>, <'ses':sVs>]"
125,los compromisos de la conservación,"[<'con':cVc>, <'ser':sVc>, <'va':cV>, <'ción':cvVc>]"
126,la consecuencia de la consecuencia,"[<'con':cVc>, <'se':sV>, <'cuen':cvVc>, <'cia':cvV>]"
127,a la consecuencia de la compensidad,"[<'com':cVc>, <'pen':cVc>, <'si':sv>, <'dad':cVc>]"
128,la consecuencia de la económica,"[<'e':V>, <'co':cV>, <'nó':cV>, <'mi':cv>, <'ca':cV>]"
129,el consemiento de la temperatura,"[<'tem':cVc>, <'pe':cV>, <'ra':cV>, <'tu':cv>, <'ra':cV>]"
130,en la consecuencia de la consecuencia,"[<'con':cVc>, <'se':sV>, <'cuen':cvVc>, <'cia':cvV>]"
131,en los procesos de la temperatura,"[<'tem':cVc>, <'pe':cV>, <'ra':cV>, <'tu':cv>, <'ra':cV>]"
132,la comprestión de la comperatura,"[<'com':cVc>, <'pe':cV>, <'ra':cV>, <'tu':cv>, <'ra':cV>]"
133,problema de la compran de la cambio,"[<'cam':cVc>, <'bio':cvV>]"
134,la comperativa de la compresción,"[<'com':cVc>, <'pres':ccVs>, <'ción':cvVc>]"
135,la económica de la consecuencia,"[<'con':cVc>, <'se':sV>, <'cuen':cvVc>, <'cia':cvV>]"
136,la consecuencia de la consecuencia,"[<'con':cVc>, <'se':sV>, <'cuen':cvVc>, <'cia':cvV>]"
137,el cambio climático de la comprestión,"[<'com':cVc>, <'pres':ccVs>, <'tión':cvVc>]"
138,consecuencia de la temperatura,"[<'tem':cVc>, <'pe':cV>, <'ra':cV>, <'tu':cv>, <'ra':cV>]"
139,la temperatura de la comprestión,"[<'com':cVc>, <'pres':ccVs>, <'tión':cvVc>]"
140,de la económica de la comprestión,"[<'com':cVc>, <'pres':ccVs>, <'tión':cvVc>]"
141,la compresción de la comprificación,"[<'com':cVc>, <'pri':ccv>, <'fi':cv>, <'ca':cV>, <'ción':cvVc>]"
142,en el cambio climático de la compran,"[<'com':cVc>, <'pran':ccVc>]"
143,la compensada de la transflicación,"[<'trans':ccVcs>, <'fli':ccv>, <'ca':cV>, <'ción':cvVc>]"
144,en la comprendia de las presentados,"[<'pre':ccV>, <'sen':sVc>, <'ta':cV>, <'dos':cVs>]"
145,cambio climático y la comprendia,"[<'com':cVc>, <'pren':ccVc>, <'dia':cvV>]"
146,la cuantidad de la comperatura,"[<'com':cVc>, <'pe':cV>, <'ra':cV>, <'tu':cv>, <'ra':cV>]"
147,de la comunidad de la comprensión,"[<'com':cVc>, <'pren':ccVc>, <'sión':svVc>]"
148,en el cambio climático de la compran,"[<'com':cVc>, <'pran':ccVc>]"
149,la comprestión de la temperatura,"[<'tem':cVc>, <'pe':cV>, <'ra':cV>, <'tu':cv>, <'ra':cV>]"
150,la comperatura de la comprendia,"[<'com':cVc>, <'pren':ccVc>, <'dia':cvV>]"
151,la temperatura de la comprendia,"[<'com':cVc>, <'pren':ccVc>, <'dia':cvV>]"
152,de la comprendia de la consecuencia,"[<'con':cVc>, <'se':sV>, <'cuen':cvVc>, <'cia':cvV>]"
153,la comprestión de la comperatura,"[<'com':cVc>, <'pe':cV>, <'ra':cV>, <'tu':cv>, <'ra':cV>]"
154,la consecuencia de la consecuencia,"[<'con':cVc>, <'se':sV>, <'cuen':cvVc>, <'cia':cvV>]"
155,cambio climático de la comprendia,"[<'com':cVc>, <'pren':ccVc>, <'dia':cvV>]"
156,esta de la comprendia de la compresción,"[<'com':cVc>, <'pres':ccVs>, <'ción':cvVc>]"
157,en el problema de la comperatura,"[<'com':cVc>, <'pe':cV>, <'ra':cV>, <'tu':cv>, <'ra':cV>]"
158,la comprendia de la comperitiva,"[<'com':cVc>, <'pe':cV>, <'ri':cv>, <'ti':cv>, <'va':cV>]"
159,la consecuencia de la económica,"[<'e':V>, <'co':cV>, <'nó':cV>, <'mi':cv>, <'ca':cV>]"
160,la consecuencia de las emisiones,"[<'e':V>, <'mi':cv>, <'sio':svV>, <'nes':cVs>]"
161,la consecuencia de la consecuencia,"[<'con':cVc>, <'se':sV>, <'cuen':cvVc>, <'cia':cvV>]"
162,la consecuencia de la consecuencia,"[<'con':cVc>, <'se':sV>, <'cuen':cvVc>, <'cia':cvV>]"
163,de la consecuencia de la comprendia,"[<'com':cVc>, <'pren':ccVc>, <'dia':cvV>]"
164,en la comprendia de la temperatura,"[<'tem':cVc>, <'pe':cV>, <'ra':cV>, <'tu':cv>, <'ra':cV>]"
165,en los procesos de la temperatura,"[<'tem':cVc>, <'pe':cV>, <'ra':cV>, <'tu':cv>, <'ra':cV>]"
166,la producción de la temperatura,"[<'tem':cVc>, <'pe':cV>, <'ra':cV>, <'tu':cv>, <'ra':cV>]"
167,el cambio climático en los países,"[<'pa':cV>, <'í':V>, <'ses':sVs>]"
168,de la consecuencia de la comprendia,"[<'com':cVc>, <'pren':ccVc>, <'dia':cvV>]"
169,la información de la temperatura,"[<'tem':cVc>, <'pe':cV>, <'ra':cV>, <'tu':cv>, <'ra':cV>]"
170,la comperativa de la comprestión,"[<'com':cVc>, <'pres':ccVs>, <'tión':cvVc>]"
171,la segurada de la consecuiria,"[<'con':cVc>, <'se':sV>, <'cui':cvv>, <'ria':cvV>]"
172,el cambio climático de la compresción,"[<'com':cVc>, <'pres':ccVs>, <'ción':cvVc>]"
173,consecuencia del cambio climático,"[<'cli':ccv>, <'má':cV>, <'ti':cv>, <'co':cV>]"
174,de la comprencia de la consecuencia,"[<'con':cVc>, <'se':sV>, <'cuen':cvVc>, <'cia':cvV>]"
175,este compremisiones de la compresción,"[<'com':cVc>, <'pres':ccVs>, <'ción':cvVc>]"
176,el calentamiento de los países,"[<'pa':cV>, <'í':V>, <'ses':sVs>]"
177,la comperativa de la consecuir,"[<'con':cVc>, <'se':sV>, <'cuir':cvvc>]"
178,en la comprendia de la comperatura,"[<'com':cVc>, <'pe':cV>, <'ra':cV>, <'tu':cv>, <'ra':cV>]"
179,los países de la temperatura,"[<'tem':cVc>, <'pe':cV>, <'ra':cV>, <'tu':cv>, <'ra':cV>]"
180,la consecuencia de la consecuencia,"[<'con':cVc>, <'se':sV>, <'cuen':cvVc>, <'cia':cvV>]"
181,la comperatura de la comprestión,"[<'com':cVc>, <'pres':ccVs>, <'tión':cvVc>]"
182,de la comprendia de la economía,"[<'e':V>, <'co':cV>, <'no':cV>, <'mí':cV>, <'a':V>]"
183,el cambio climático en la consecuencia,"[<'con':cVc>, <'se':sV>, <'cuen':cvVc>, <'cia':cvV>]"
184,los compenstaciones de la estrecura,"[<'es':Vs>, <'tre':ccV>, <'cu':cv>, <'ra':cV>]"
185,consecuencia de la comperatura,"[<'com':cVc>, <'pe':cV>, <'ra':cV>, <'tu':cv>, <'ra':cV>]"
186,de la compresción de la compensada,"[<'com':cVc>, <'pen':cVc>, <'sa':sV>, <'da':cV>]"
187,la compensadad de la consecuencia,"[<'con':cVc>, <'se':sV>, <'cuen':cvVc>, <'cia':cvV>]"
188,el cambio climático de la comprestión,"[<'com':cVc>, <'pres':ccVs>, <'tión':cvVc>]"
189,la consecuencia de la compersidad,"[<'com':cVc>, <'per':cVc>, <'si':sv>, <'dad':cVc>]"
190,de la compensaria de la comprestión,"[<'com':cVc>, <'pres':ccVs>, <'tión':cvVc>]"
191,por el prodecto de la compensada,"[<'com':cVc>, <'pen':cVc>, <'sa':sV>, <'da':cV>]"
192,la comperativa de la comprendia,"[<'com':cVc>, <'pren':ccVc>, <'dia':cvV>]"
193,en la consecuencia de la consecuencia,"[<'con':cVc>, <'se':sV>, <'cuen':cvVc>, <'cia':cvV>]"
194,este consecuencia de la economía,"[<'e':V>, <'co':cV>, <'no':cV>, <'mí':cV>, <'a':V>]"
195,de la economía de los países,"[<'pa':cV>, <'í':V>, <'ses':sVs>]"
196,el cambio climático de la comprensión,"[<'com':cVc>, <'pren':ccVc>, <'sión':svVc>]"
197,el cambio climático de la compresción,"[<'com':cVc>, <'pres':ccVs>, <'ción':cvVc>]"
198,a la compresción de la temperatura,"[<'tem':cVc>, <'pe':cV>, <'ra':cV>, <'tu':cv>, <'ra':cV>]"
199,la comperación de las emisiones,"[<'e':V>, <'mi':cv>, <'sio':svV>, <'nes':cVs>]"
200,el cambio climático en la consecuencia,"[<'con':cVc>, <'se':sV>, <'cuen':cvVc>, <'cia':cvV>]"
201,la comprestión de la temperatura,"[<'tem':cVc>, <'pe':cV>, <'ra':cV>, <'tu':cv>, <'ra':cV>]"
202,la consecuencia de la consecuencia,"[<'con':cVc>, <'se':sV>, <'cuen':cvVc>, <'cia':cvV>]"
203,de la económica de la comprestión,"[<'com':cVc>, <'pres':ccVs>, <'tión':cvVc>]"
204,de la económica de la comprensión,"[<'com':cVc>, <'pren':ccVc>, <'sión':svVc>]"
205,la temperatura de la comprestión,"[<'com':cVc>, <'pres':ccVs>, <'tión':cvVc>]"
206,la consecuencia de la económica,"[<'e':V>, <'co':cV>, <'nó':cV>, <'mi':cv>, <'ca':cV>]"
207,la comperatura de la comprestión,"[<'com':cVc>, <'pres':ccVs>, <'tión':cvVc>]"
208,estado consertido en la consemuidad,"[<'con':cVc>, <'se':sV>, <'mui':cvv>, <'dad':cVc>]"
209,la consumo del cambio climático,"[<'cli':ccv>, <'má':cV>, <'ti':cv>, <'co':cV>]"
210,estable establecido en la consecuencia,"[<'con':cVc>, <'se':sV>, <'cuen':cvVc>, <'cia':cvV>]"
211,la consecuir en la comperativa,"[<'com':cVc>, <'pe':cV>, <'ra':cV>, <'ti':cv>, <'va':cV>]"
212,es el consemo de la temperatura,"[<'tem':cVc>, <'pe':cV>, <'ra':cV>, <'tu':cv>, <'ra':cV>]"
213,la consecuencia de la consecuencia,"[<'con':cVc>, <'se':sV>, <'cuen':cvVc>, <'cia':cvV>]"
214,en la comprestión de la temperatura,"[<'tem':cVc>, <'pe':cV>, <'ra':cV>, <'tu':cv>, <'ra':cV>]"
215,la temperatura de la compresción,"[<'com':cVc>, <'pres':ccVs>, <'ción':cvVc>]"
216,la comprendia de la comperatura,"[<'com':cVc>, <'pe':cV>, <'ra':cV>, <'tu':cv>, <'ra':cV>]"
217,de los países de la económica,"[<'e':V>, <'co':cV>, <'nó':cV>, <'mi':cv>, <'ca':cV>]"
218,estado en la comprendia de la comprestión,"[<'com':cVc>, <'pres':ccVs>, <'tión':cvVc>]"
219,cambio climático en el consemiento,"[<'con':cVc>, <'se':sV>, <'mien':cvVc>, <'to':cV>]"
220,en la comprendia de las emisiones,"[<'e':V>, <'mi':cv>, <'sio':svV>, <'nes':cVs>]"
221,que la consecuencia de la comprestión,"[<'com':cVc>, <'pres':ccVs>, <'tión':cvVc>]"
222,de la comprendia de la compersidad,"[<'com':cVc>, <'per':cVc>, <'si':sv>, <'dad':cVc>]"
223,consemuento de la comperativa,"[<'com':cVc>, <'pe':cV>, <'ra':cV>, <'ti':cv>, <'va':cV>]"
224,el cambio climático en la consectidad,"[<'con':cVc>, <'sec':sVc>, <'ti':cv>, <'dad':cVc>]"
225,la consecuencia de la económica,"[<'e':V>, <'co':cV>, <'nó':cV>, <'mi':cv>, <'ca':cV>]"
226,la temperatura de la producción,"[<'pro':ccV>, <'duc':cvc>, <'ción':cvVc>]"
227,pero de los países de la compres,"[<'com':cVc>, <'pres':ccVs>]"
228,compremisiones de la económica,"[<'e':V>, <'co':cV>, <'nó':cV>, <'mi':cv>, <'ca':cV>]"
229,la cambio climático y la tierra,"[<'tie':cvV>, <'rra':ccV>]"
230,estado en la comprendia de la comprensión,"[<'com':cVc>, <'pren':ccVc>, <'sión':svVc>]"
231,el cambio climático de la comprensión,"[<'com':cVc>, <'pren':ccVc>, <'sión':svVc>]"
232,de los políticos de la comprensión,"[<'com':cVc>, <'pren':ccVc>, <'sión':svVc>]"
233,en la consecuencia de la compersidad,"[<'com':cVc>, <'per':cVc>, <'si':sv>, <'dad':cVc>]"
234,estado en la comprestión de la comprendia,"[<'com':cVc>, <'pren':ccVc>, <'dia':cvV>]"
235,esta producción de la comperatura,"[<'com':cVc>, <'pe':cV>, <'ra':cV>, <'tu':cv>, <'ra':cV>]"
236,la consecuencia de la consecuencia,"[<'con':cVc>, <'se':sV>, <'cuen':cvVc>, <'cia':cvV>]"
237,el cambio climático y la comprendia,"[<'com':cVc>, <'pren':ccVc>, <'dia':cvV>]"
